arrest_number,arrest_occurred_date_time,arrest_reported_date_time,nibrs_description,beat,sector,precinct,neighborhood,block_address,report_number,longitude,latitude
SEED-A-0001,2022-01-04T14:05:00,2022-01-04T15:10:00,All Other Larceny,K1,KING,West,DOWNTOWN COMMERCIAL,5XX BLOCK 5TH AVE,20220000000001,-122.332149,47.608604
SEED-A-0002,2022-03-11T22:40:00,2022-03-12T00:15:00,Drug/Narcotic Violations,E1,EDWARD,East,CAPITOL HILL,2XX BLOCK BROADWAY E,20220000000002,-122.320882,47.620492
SEED-A-0003,2022-06-20T09:25:00,2022-06-20T10:00:00,Simple Assault,B2,BOY,North,FREMONT,7XX BLOCK N 47TH ST,20220000000003,-122.349303,47.662874
SEED-A-0004,2023-02-15T18:30:00,2023-02-15T19:05:00,Intimidation,K3,KING,West,CHINATOWN/INTERNATIONAL DISTRICT,6XX BLOCK 5TH AVE S,20230000000004,-122.327000,47.598000
SEED-A-0005,2023-05-02T03:12:00,2023-05-02T04:00:00,Destruction/Damage/Vandalism,D2,DAVID,West,BELLTOWN,20XX BLOCK 2ND AVE,20230000000005,-122.345000,47.613000
SEED-A-0006,2023-09-19T16:48:00,2023-09-19T17:20:00,Burglary/Breaking & Entering,N3,NORA,North,BALLARD,55XX BLOCK 22ND AVE NW,20230000000006,-122.385000,47.668000
SEED-A-0007,2024-01-07T11:00:00,2024-01-07T11:45:00,Theft From Motor Vehicle,G1,GEORGE,East,CENTRAL AREA,1XX BLOCK 23RD AVE,20240000000007,-122.302000,47.610000
SEED-A-0008,2024-04-23T20:05:00,2024-04-23T21:00:00,Weapon Law Violations,M2,MARY,West,SODO,30XX BLOCK 1ST AVE S,20240000000008,-122.334000,47.580000
SEED-A-0009,2024-08-30T07:35:00,2024-08-30T08:10:00,All Other Larceny,U2,UNION,North,UNIVERSITY DISTRICT,43XX BLOCK UNIVERSITY WAY NE,20240000000009,-122.313000,47.659000
SEED-A-0010,2024-11-12T13:20:00,2024-11-12T14:00:00,Drug/Narcotic Violations,W1,WILLIAM,Southwest,WEST SEATTLE,45XX BLOCK CALIFORNIA AVE SW,20240000000010,-122.387000,47.562000
